Date,Speaker,Topic,Recording
28-Nov-22,Max Little (MIT & University of Birmingham),"GRAPL: A computational library for nonparametric structural causal modelling, analysis and inference","<a href=""https://neildhir.github.io/CIIG/slides/GRAPL_ATI_Talk_2022.pdf"" target=""_blank"">Slides</a>"
28-Feb-22,Kellyn Arnold (University of Leeds),The effects of lockdown timing on COVID-19 cases across Europe: A counterfactual modelling study ,"<a href=""https://neildhir.github.io/CIIG/slides/KA_slides_010322.pdf"" target=""_blank"">Slides</a>"
14-Feb-22,Qingyuan Zhao (University of Cambridge),Mendelian randomization: Old and new insights,"<a href=""https://www.statslab.cam.ac.uk/~qz280/talk/penn-biostat-2021/slides.pdf"" target=""_blank"">Slides</a>"
31-Jan-22,Ciarán Gilligan-Lee (Spotify & University College London),Learning problems from the Causal Hierarchy ,"<a href=""https://neildhir.github.io/CIIG/slides/CL_slides_310122.pdf"" target=""_blank"">Slides</a>"
17-Jan-22,Hana Chockler (CausaLens & King's College London),"Actual causality, responsibility, explanations, and fairness - a bird's eye view ","<a href=""https://neildhir.github.io/CIIG/slides/HC_slides_170122.pdf"" target=""_blank"">Slides</a>"
13-Dec-21,Lewis Hammond (University of Oxford),Reasoning About Causality in Games,"<a href=""https://neildhir.github.io/CIIG/slides/LH_slides_131221.pdf"" target=""_blank"">Slides</a>"
06-Dec-21,Nicola Branchini (University of Edinburgh),Causal Entropy Optimization,Not recorded
29-Nov-21,Silvia Chiappa & Alan Malek (DeepMind),Selecting the Asymptotically Best Causal Effect Estimator with Multi-Armed Bandits,Not recorded
15-Nov-21,Virginia Aglietti (DeepMind),Dynamic Causal Bayesian Optimization,"<a href=""https://neildhir.github.io/CIIG/slides/VA_slides_151121.pdf"" target=""_blank"">Slides</a>"
08-Nov-21,Johannes Textor (Radboud University),How to Test DAG Models,"<a href=""https://neildhir.github.io/CIIG/slides/JT_slides_081121.pdf"" target=""_blank"">Slides</a>"
25-Oct-21,Jonathan Richens (DeepMind),Counterfactual harm,Not recorded
18-Oct-21,Ricardo Silva (University College London),A New Class of Algorithms for Bounding Causal Effects,"<a href=""https://neildhir.github.io/CIIG/slides/RS_slides_181021.pdf"" target=""_blank"">Slides</a>"
